"","X","dint","dsack","fumtot","fumrec","tds","points","fgperc","xpperc","ydsperpass","ydsperrush"
"119","OAK",9,39,30,15,33,298,0.7,1,6.96934306569343,4.57079646017699
"151","OAK",9,22,25,11,26,241,0.863636363636364,1,5.49602543720191,3.69850746268657
"183","OAK",10,39,24,11,41,347,0.84,0.974358974358974,6.82479338842975,3.93243243243243
"24","PHI",23,42,33,19,45,413,0.864864864864865,1,7.51336898395722,5.16746411483254
"56","PHI",15,50,23,9,42,370,0.888888888888889,1,7.71841155234657,5.08258928571429
"88","PHI",8,31,37,13,28,274,0.870967741935484,0.961538461538462,6.59708737864078,4.56900726392252
"120","PHI",19,38,20,6,51,420,0.821428571428571,1,8.65815324165029,5.10379241516966
"152","PHI",12,49,25,8,43,408,0.888888888888889,1,7.35313001605136,4.18487394957983
"184","PHI",15,38,26,11,38,333,0.807692307692308,0.954545454545455,6.96789727126806,3.91891891891892
"25","PIT",20,47,22,11,37,387,0.808510638297872,1,8.12108559498956,4.08704883227176
"57","PIT",11,35,17,3,34,309,0.766666666666667,1,8.03896103896104,4.38479262672811
"89","PIT",10,37,33,13,35,328,0.903225806451613,1,6.9825479930192,3.75302663438257
"121","PIT",9,34,16,6,37,351,0.9375,1,7.32867132867133,3.51150895140665
"153","PIT",11,33,16,5,46,408,0.90625,1,8.16503267973856,4.21784232365145
"185","PIT",17,47,12,8,42,389,0.833333333333333,0.941176470588235,8.16440677966102,4.44329896907217
"26","SD",16,43,25,9,48,417,0.84375,1,8.72426470588235,3.96061269146608
"58","SD",17,32,20,10,43,386,0.8,1,7.94501718213058,4.28965517241379
"90","SD",14,38,25,11,31,306,0.896551724137931,1,6.83143939393939,3.55474452554745
"122","SD",11,35.5,14,5,43,402,0.971428571428571,1,8.21651376146789,3.9631067961165
"154","SD",7,26,15,10,37,328,0.88,1,7.48432055749129,3.40519480519481
"186","SD",11,33,22,6,34,310,0.8125,0.903225806451613,7.26946107784431,3.46173469387755
"27","SEA",12,37,16,6,26,262,0.833333333333333,1,6.49448529411765,3.8955223880597
"59","SEA",22,34,22,12,30,289,0.892857142857143,1,6.76620825147348,3.93497757847534
"91","SEA",18,37,16,7,43,376,0.923076923076923,1,7.9679012345679,4.8115671641791
"123","SEA",28,43,25,12,41,389,0.970588235294118,1,8.35238095238095,4.29862475442043
